City,Site,Site Name,Category Desc.,Long Class Desc.,Art. No,Article Desc.,Quantity,Date,Formatted Date,Net Revenue,Product Name,Channel,Gross Revenue
Bangalore,A073,Bangalore-Banshankari,Gaming Consoles and Accessories,PS4 Accessories,224360,Amkette Evo Gpad4 Smartphne edition,1,03.03.2022,3-Mar-22,2299,829BK Bluetooth Controller 4 (EGP4),Offline,2599
Bangalore,E003,Infiniti Retail Limited -E003,Gaming Consoles and Accessories,PS4 Accessories,234876,Amkette Evo Gamebox,1,04.03.2022,4-Mar-22,9999,562MM Evo Fox Game Box Bundle,Online,10999
Bangalore,E003,Infiniti Retail Limited -E003,Gaming Consoles and Accessories,PS4 Accessories,234876,Amkette Evo Gamebox,1,06.03.2022,6-Mar-22,9999,562MM Evo Fox Game Box Bundle,Online,10999
Chennai,A034,Chennai-Mount Road,Gaming Consoles and Accessories,PS4 Accessories,224360,Amkette Evo Gpad4 Smartphne edition,1,09.03.2022,9-Mar-22,2299,829BK Bluetooth Controller 4 (EGP4),Offline,2599
New Delhi,E002,E002 Delhi DC,Gaming Consoles and Accessories,PS4 Accessories,234876,Amkette Evo Gamebox,1,13.03.2022,13-Mar-22,9999,562MM Evo Fox Game Box Bundle,Online,10999
Rajkot,A036,Rajkot-Crystal Mall,Gaming Consoles and Accessories,PS4 Accessories,234876,Amkette Evo Gamebox,1,17.03.2022,17-Mar-22,9999,562MM Evo Fox Game Box Bundle,Offline,10999
New Delhi,A048,Delhi-SouthEx,Gaming Consoles and Accessories,PS4 Accessories,224360,Amkette Evo Gpad4 Smartphne edition,1,18.03.2022,18-Mar-22,2299,829BK Bluetooth Controller 4 (EGP4),Offline,2599
New Delhi,E002,E002 Delhi DC,Gaming Consoles and Accessories,PS4 Accessories,234876,Amkette Evo Gamebox,1,19.03.2022,19-Mar-22,9999,562MM Evo Fox Game Box Bundle,Online,10999
Bangalore,A093,Bangalore-Rajaji Nagar,Gaming Consoles and Accessories,PS4 Accessories,224360,Amkette Evo Gpad4 Smartphne edition,1,20.03.2022,20-Mar-22,2299,829BK Bluetooth Controller 4 (EGP4),Offline,2599
Hyderabad,E005,HYDERABAD,Gaming Consoles and Accessories,PS4 Accessories,234876,Amkette Evo Gamebox,1,21.03.2022,21-Mar-22,9999,562MM Evo Fox Game Box Bundle,Online,10999
Chennai,A037,Chennai-Anna Nagar,Gaming Consoles and Accessories,PS4 Accessories,234876,Amkette Evo Gamebox,1,21.03.2022,21-Mar-22,9999,562MM Evo Fox Game Box Bundle,Offline,10999
BHIWANDI,E001,E001 Bhiwandi DC,Gaming Consoles and Accessories,PS4 Accessories,234876,Amkette Evo Gamebox,1,24.03.2022,24-Mar-22,9999,562MM Evo Fox Game Box Bundle,Online,10999
Navi Mumbai,A009,Navi Mumbai-Belapur,Gaming Consoles and Accessories,PS4 Accessories,224360,Amkette Evo Gpad4 Smartphne edition,1,24.03.2022,24-Mar-22,2299,829BK Bluetooth Controller 4 (EGP4),Offline,2599
Hubli,A167,Hubli-Gokul Road,Gaming Consoles and Accessories,PS4 Accessories,224360,Amkette Evo Gpad4 Smartphne edition,1,25.03.2022,25-Mar-22,2299,829BK Bluetooth Controller 4 (EGP4),Offline,2599
Pune,E018,Pune DC-E018,PC Accessories,Adaptors/Cables/Hubs,204739,AMKETTE High speed 4 Port USB 2.0 Hub,1,26.03.2022,26-Mar-22,499,341PP Hi-Speed Hub 4 Port USB 2,Online,549
Navi Mumbai,A009,Navi Mumbai-Belapur,Gaming Consoles and Accessories,PS4 Accessories,224360,Amkette Evo Gpad4 Smartphne edition,0,26.03.2022,26-Mar-22,0,829BK Bluetooth Controller 4 (EGP4),Offline,0
Nashik,A108,Nashik-Solitario,Gaming Consoles and Accessories,PS4 Accessories,224360,Amkette Evo Gpad4 Smartphne edition,1,26.03.2022,26-Mar-22,2299,829BK Bluetooth Controller 4 (EGP4),Offline,2599
New Delhi,E002,E002 Delhi DC,Gaming Consoles and Accessories,PS4 Accessories,234876,Amkette Evo Gamebox,1,31.03.2022,31-Mar-22,9999,562MM Evo Fox Game Box Bundle,Online,10999
Bhiwandi,E024,E024 Ecom Bhiwandi new DC,Gaming Consoles and Accessories,PS4 Accessories,234876,Amkette Evo Gamebox,1,31.03.2022,31-Mar-22,9999,562MM Evo Fox Game Box Bundle,Online,10999
Navi Mumbai,A009,Navi Mumbai-Belapur,Gaming Consoles and Accessories,PS4 Accessories,224360,Amkette Evo Gpad4 Smartphne edition,-1,31.03.2022,31-Mar-22,-2299,829BK Bluetooth Controller 4 (EGP4),Offline,-2599
Hyderabad,A091,Hyderabad-Kondapur,Gaming Consoles and Accessories,PS4 Accessories,234876,Amkette Evo Gamebox,1,31.03.2022,31-Mar-22,9999,562MM Evo Fox Game Box Bundle,Offline,10999
Bangalore,E003,Infiniti Retail Limited -E003,Gaming Consoles and Accessories,PS4 Accessories,224360,Amkette Evo Gpad4 Smartphne edition,1,01.04.2022,1-Apr-22,2299,829BK Bluetooth Controller 4 (EGP4),Online,2599
Hyderabad,A134,Hyderabad-AS RaoNagar,Gaming Consoles and Accessories,PS4 Accessories,224360,Amkette Evo Gpad4 Smartphne edition,1,01.04.2022,1-Apr-22,2299,829BK Bluetooth Controller 4 (EGP4),Offline,2599
