Site,Article,Article Description,Qty,City,Store Name,Full Tally Name,Store Type,TP / ex GST,Stock Value
A001,250423,Amkette Ergo Laptop Stand 7 Levels,3,Mumbai,Juhu,650GR Ergo View Laptop Stand-Grey,Store,759,2277
A001,250873,Amkette EvoFox Fireblade Wired GMG KB,3,Mumbai,Juhu,422BK Evo Fox Fireblade Gaming Keyboard USB,Store,999,2997
A001,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,Mumbai,Juhu,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Store,1349,1349
A001,250421,Amkette Neo Case 14 Multi Pocket GRY,2,Mumbai,Juhu,146BK NeoCase Sleeve MP 450 14,Store,779,1558
A001,250424,Amkette Primus V2 WL Desktop KB & Mouse,1,Mumbai,Juhu,419V2 PRIMUS Wireless Desktop V2,Store,999,999
A001,260086,Amkette Type-C 6 in 1 Multiport Hub,3,Mumbai,Juhu,436BK Type-C 6 in 1 Multiport Hub,Store,1699,5097
A001,260090,Amkette Xcite Neo Wired Keyboard & Mouse,1,Mumbai,Juhu,400PP Xcite Neo Keyboard & Mouse USB,Store,729,729
A001,260089,Amkette Xcite Neo Wired USB Keyboard,1,Mumbai,Juhu,398PP Xcite Neo Keyboard USB,Store,529,529
A001,204736,AMKETTE Xcite Pro Keyboard,1,Mumbai,Juhu,851PP Xcite Pro Keyboard USB,Store,549,549
A001,204737,AMKETTE Xcite Pro Keyboard & Mouse Combo,1,Mumbai,Juhu,850PP Xcite Pro Keyboard & Mouse USB,Store,729,729
A004,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,Ahmedabad,Devarc,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Store,349,349
A009,250423,Amkette Ergo Laptop Stand 7 Levels,1,Navi Mumbai,Belapur,650GR Ergo View Laptop Stand-Grey,Store,759,759
A009,250878,Amkette EvoFox Falcon LX35 LED Mouse Pad,1,Navi Mumbai,Belapur,596BK Evo Fox Falcon LX35 Medium Speed LED Mouse Pad,Store,999,999
A009,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,Navi Mumbai,Belapur,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Store,349,349
A009,256480,Amkette EvoFox Prime Gaming Bundle,1,Navi Mumbai,Belapur,998PP EvoFox Prime Gaming Bundle (422-423-658-597),Store,3000,3000
A009,250876,Amkette EvoFox Typhoon Cooling Pad 5Fans,1,Navi Mumbai,Belapur,649BK EvoFox Typhoon Laptop Cooling Pad,Store,1399,1399
A009,250421,Amkette Neo Case 14 Multi Pocket GRY,3,Navi Mumbai,Belapur,146BK NeoCase Sleeve MP 450 14,Store,779,2337
